YEAR,Region,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1897,Northeast,3.477,2.367,3.293,2.727,4.65,4.773,4.223,4.125,2.648,0.434,6.312,4.229
1897,Southeast,4.04286,2.38286,2.46,3.70429,4.42429,3.37143,4.53286,3.85286,1.74714,0.89857,7.11857,3.99714
1898,Central,4.17333,4.03667,2.03,4.11333,3.73333,3.38667,6.07333,5.52,3.37667,6.33667,6.25,2.55667
1898,Connecticut River,6.065,4.015,2.045,4.155,4.8075,3.3425,4.67,8.03,3.13,6.36,5.99,2.825
1898,Northeast,4.834,4.71,1.873,5.64,3.81,2.214,4.708,7.687,2.373,7.29,5.667,2.724
1898,Southeast,4.14375,5.49875,2.5975,5.85875,4.96375,1.53375,7.055,6.52875,2,8.7025,7.14375,2.32
1899,Central,3.58333,3.56667,5.98333,1.76333,1.38667,4.16667,4.64333,1.99,4.23,1.72667,2.28,1.79333
1899,Connecticut River,3.235,3.6975,6.75,2.225,1.2875,4.2225,5.6,2.26,4.9775,2.17,2.36,2.175
1899,Northeast,4.05273,3.48455,6.24455,1.65727,1.33,3.06091,3.17909,2.20182,4.96727,2.17,2.47,1.65091
1899,Southeast,5.61429,5.55857,7.14,1.77857,1.73857,3.68,3.72143,1.78857,7.655,2.415,2.32375,1.62429
1900,Central,4.20333,7.02,5.71333,2.22667,4.10333,4.26667,3.34,2.56667,3.21667,3.79,6.04,2.44333
1900,Connecticut River,3.9825,8.0425,5.605,1.8275,4.3425,3.9625,4.1075,3.3025,2.95,3.8725,6.0225,2.7825
1900,Northeast,4.59769,7.78583,4.92462,2.03231,4.40923,2.64385,2.39,2.67,3.90462,3.39462,5.00077,2.43154
1900,Southeast,4.69143,6.78857,4.74571,1.95143,5.87857,2.74714,2.41286,2.25,4.09571,4.27429,4.58857,2.71286
1901,Central,1.39333,0.93333,5.45333,6.52,6.23667,1.47,4.37667,5.58333,3.74,3.17,2.48667,8.7
1901,Connecticut River,1.86,0.76,5.95,6.5725,6.6225,1.1325,3.5025,6.635,3.74,4.035,1.91,8.3675
1901,Northeast,1.65615,0.95923,5.87077,8.26692,6.96462,1.50769,4.94692,3.34846,3.31231,2.91154,2.77308,8.02923
1901,Southeast,2.34429,1.08714,7.76429,7.29714,7.74429,1.63857,3.68286,2.55571,3.55714,2.96429,2.37286,9.05714
1902,Central,2.18667,4.13667,4.80667,3.14333,1.98667,3.34333,4.18333,3.79,4.64333,4.86333,1.02333,6.33667
1902,Connecticut River,1.9075,3.0425,5.3675,3.485,2.1125,4.03,4.53,4.5675,5.1625,5.4625,1.225,6.555
1902,Northeast,1.97071,5.20929,5.27357,4.33786,1.74429,2.26286,3.33857,3.64429,4.06929,4.77,1.05286,5.54071
1902,Southeast,2.15429,5.61857,6.32714,3.01571,1.42857,4.32286,2.36143,1.94571,3.28,4.62857,1.61857,5.81143
1903,Central,3.43333,4.1,6.54667,2.84667,0.99,8.38333,4.26333,4.19,1.69,3.61333,1.82,3.32667
1903,Connecticut River,2.865,4.1375,6.415,2.7025,0.9775,7.4575,3.9325,5.3,2.45,2.7775,2.4775,3.545
1903,Northeast,3.506,3.76867,6.18,3.88133,0.72533,9.02267,2.94933,3.524,1.99333,3.97667,1.47467,2.79867
1903,Southeast,4.3,5.38571,7.77143,4.98571,0.58143,4.62286,2.97286,3.97429,1.05857,4.60857,2.03143,3.55714
1904,Central,3.47667,2.18667,3.2,7.22667,2.48333,2.74333,2.70333,5.67,5.23333,1.72667,1.54333,2.72667
1904,Connecticut River,4.005,2.7275,4.0425,5.8225,3.2875,3.8675,3.34,4.4275,5.745,1.8475,1.43,2.685
1904,Northeast,4.29933,2.608,2.62133,8.86667,3.364,3.41533,2.00933,3.23933,5.68867,1.81067,1.62667,2.33667
1904,Southeast,4.48857,3.64429,2.60571,8.76714,2.62857,3.24714,2.44714,3.82857,4.14571,1.94571,2.31143,3.45286
1905,Central,3.97,1.61333,2.89333,2.68,1.04,5.8,2.96333,4.47333,6.35,1.78,2.60667,3.62
1905,Connecticut River,4.275,1.4875,3.86,2.635,1.0825,4.005,2.32,5.43,6.57,1.9,2.085,3.35
1905,Northeast,4.87533,1.58733,2.99,2.648,1.342,5.60333,1.99267,3.14533,6.89667,1.27667,2.21533,3.88267
1905,Southeast,3.7025,2.06375,2.435,2.50625,1.295,7.0825,2.91625,2.935,5.75125,1.93375,2.14,4.3425
1906,Central,2.44667,2.63333,4.95667,2.66333,6.04333,3.45667,4.8625,2.6375,2.46,4.42,2.2525,3.99
1906,Connecticut River,2.555,2.455,5.2075,3.145,5.3125,3.585,5.9425,3.4825,2.92,5.6825,2.0275,3.7125
1906,Northeast,2.66733,2.646,6.07733,2.62867,5.332,3.594,5.28467,2.83533,2.23867,2.98467,2.92333,4.322
1906,Southeast,3.60375,4.24,6.78,2.3575,4.8825,2.80375,5.63875,2.38125,3.48875,3.99125,2.74125,3.305
1906,Western,2.08,2.04,4.97,3.55,4.36,2.36,5.38,3.94,3.62,3.26,2.26,2.45
1907,Central,2.538,1.698,1.86,2.696,3.482,3.22,3.994,1.21,8.922,4.966,5.51,3.84
1907,Connecticut River,3.1075,2.16,1.7475,2.595,3.9225,2.7525,3.325,1.3075,9.0975,5.77,4.6725,4.0775
1907,Northeast,2.96733,1.944,2.00067,3.274,3.02533,3.16467,2.746,1.22933,7.9,3.67867,6.02933,4.04667
1907,Southeast,3.74,2.96375,1.955,3.76625,3.74,2.28,1.41375,1.4125,9.2725,2.89375,5.765,5.70375
1907,Western,3.25,1.72,1.13,2.07,3.86,3.67,2.36,1.91,8.07,7.52,4.21,3.69
1908,Central,2.606,3.784,3.172,2.286,4.302,1.986,3.106,7.632,1.074,1.836,0.994,2.818
1908,Connecticut River,2.898,4.304,3.586,2.314,5.186,1.862,4.044,5.632,1.382,1.994,0.984,2.872
1908,Northeast,3.056,3.90133,2.982,1.912,4.218,0.99733,3.73133,4.61533,0.75067,3.37667,1.05867,2.77267
1908,Southeast,3.16429,4.12429,3.78571,2.27571,3.26857,1.94857,3.31286,4.34857,1.30857,7.08571,1.15429,3.97857
1908,Western,3.07,3.16,2.94,2.35,5.1,2.37,5.51,4.19,0.97,1.52,0.71,2.78
1909,Central,3.636,5.356,3.308,4.9,2.418,2.1,2.57,2.802,4.584,1.062,2.276,3.34
1909,Connecticut River,3.52,5.464,3.654,5.892,3.116,1.948,2.244,4.302,4.61,1.312,1.988,2.96
1909,Northeast,4.126,5.222,3.53667,4.436,2.2,2.878,2.48133,2.956,4.67067,1.292,3.67067,3.59133
1909,Southeast,4.54143,5.98714,3.90571,6.2,2.78,2.06857,1.49429,2.46571,4.71857,1.87571,4.91857,2.96857
1909,Western,4,5.25,4.04,3.92,2.02,3,1.7,3.49,3.63,1.16,1.83,1.95
1910,Central,5.472,4.274,1.232,2.828,1.95,3.306,1.828,2.846,2.39,1.362,3.68,2.134
1910,Connecticut River,5.986,4.136,1.468,3.956,3.224,3.282,1.756,3.386,3.328,0.974,4.066,1.928
1910,Northeast,4.708,4.29067,1.23933,2.41933,1.39533,4.27467,1.836,2.006,2.43533,1.53333,3.82867,2.13125
1910,Southeast,4.92875,4.59375,1.675,2.33625,2.74875,4.36875,2.5525,2.34375,1.72375,1.9825,4.86875,2.76375
1910,Western,5.24,4.07,0.91,3.68,4.16,2.78,2.82,2.91,4.75,1.16,3.73,2.08
1911,Central,2.732,2.21,3.762,2.362,1.232,1.912,3.294,6.104,3.348,4.92667,3.96333,3.324
1911,Connecticut River,2.488,2.082,3.568,2.232,1.032,2.526,5.166,6.722,4.21,7.706,3.586,3.418
1911,Northeast,2.62933,2.876,3.37563,2.17,0.61,3.39471,4.65412,4.71235,2.91941,3.11353,4.19118,3.56647
1911,Southeast,3.22857,2.81,3.58,3.39714,1.22714,2.24143,5.31143,4.28286,3.04286,2.89143,7.02,3.58286
1911,Western,3.08,1.72,3.84,2.2,2.39,2,2.92,5.38,3.67,6.22,2.55,3.17
1912,Central,2.11714,2.33143,6.13571,4.51875,4.74,0.72875,2.92375,2.8325,2.34375,2.14625,4.065,4.32111
1912,Connecticut River,2.0625,2.75,5.905,4.535,4.975,0.5825,2.7175,3.638,2.488,3.01,3.964,3.908
1912,Northeast,2.93824,2.48,5.21706,3.86765,5.00882,0.33588,4.42,2.47706,2.36294,1.97059,3.18471,4.85118
1912,Southeast,4.55714,3.32429,7.37,3.87,4.45571,0.43143,2.15714,3.54429,1.44714,1.40286,4.06429,6.26286
1912,Western,2.04,1.79,4.52,5.22,5.73,1.51,2.81,5.32,3.4,3.65,4.42,4.36
1913,Central,3.04222,3.15889,5.33875,4.11667,3.43,1.33222,1.78556,3.70444,4.00667,5.43,2.79333,3.21889
1913,Connecticut River,3.39167,2.52833,5.685,3.52333,4.875,0.945,1.43,2.885,2.80167,6.77167,2.73333,2.81333
1913,Northeast,2.72737,2.91278,4.76889,4.22167,3.59667,1.42667,2.26944,3.12667,3.17333,6.59278,2.26056,3.29444
1913,Southeast,4.25571,3.44571,3.83714,5.88714,1.99714,1.57286,2.16571,2.93857,3.02714,10.5486,2.75143,4.12571
1913,Western,3.81667,2.39667,6.04667,3.98,3.57333,1.06667,2.57,3.55667,3.25,7.21,4.19667,2.26
